Lat (DD),Long (DD),Depth
51.325562095,-003.498989084,-18.251
51.325561293,-003.498970978,-18.191
51.325571492,-003.498950695,-18.153
51.325570002,-003.498930585,-18.097
51.325571721,-003.498911792,-17.890
51.325569028,-003.498898556,-17.786
51.325565189,-003.498891738,-17.725
51.325561522,-003.498873919,-17.807
51.325560606,-003.498856788,-17.848
51.325564903,-003.498837422,-17.919
51.325568111,-003.498820634,-17.954
51.325561752,-003.498799320,-18.007
51.325561923,-003.498783277,-18.040
51.325561007,-003.498766031,-18.106
51.325567939,-003.498747696,-18.155
51.325561752,-003.498730680,-18.227
51.325562955,-003.498711428,-18.269
51.325562153,-003.498695042,-18.392
51.325561350,-003.498675905,-18.446
51.325565361,-003.498653846,-18.433
51.325562038,-003.498640210,-18.561
51.325561293,-003.498622906,-18.634
51.325562726,-003.498605488,-18.693
51.325561752,-003.498587612,-18.741
51.325562382,-003.498554151,-18.720
51.325561293,-003.498534327,-18.520
51.325563470,-003.498528254,-18.480
51.325561121,-003.498515362,-18.537
51.325566851,-003.498496397,-18.620
51.325560778,-003.498478292,-18.725
51.325564444,-003.498452623,-18.733
51.325570862,-003.498432684,-18.744
51.325571205,-003.498418017,-18.725
51.325566851,-003.498405240,-18.713
51.325568111,-003.498383639,-18.742
51.325560663,-003.498359919,-18.768
51.325563413,-003.498342329,-18.790
51.325561637,-003.498331271,-18.792
51.325569601,-003.498307378,-18.726
51.325569773,-003.498283601,-18.797
51.325564616,-003.498277527,-18.743
51.325564559,-003.498260052,-18.736
51.325570002,-003.498229456,-18.758
51.325571549,-003.498215361,-18.790
51.325565590,-003.498205048,-18.728
51.325570117,-003.498189865,-18.777
51.325561408,-003.498161675,-18.819
51.325562382,-003.498141450,-18.768
51.325564158,-003.498129819,-18.823
51.325561007,-003.498114521,-18.821
51.325562611,-003.498102546,-18.827
51.325564215,-003.498084612,-18.868
51.325567882,-003.498066392,-18.941
51.325564330,-003.498041812,-18.997
51.325565991,-003.498029207,-18.989
51.325571664,-003.498008065,-19.050
51.325568226,-003.497984803,-19.105
51.325561064,-003.497976610,-19.047
51.325562324,-003.497955296,-19.174
51.325570346,-003.497932721,-19.233
51.325570976,-003.497907683,-19.161
51.325570346,-003.497896052,-19.118
51.325569544,-003.497879723,-19.079
51.325565705,-003.497858867,-19.127
51.325563528,-003.497848783,-19.161
51.325571435,-003.497816067,-19.189
51.325563929,-003.497813947,-19.182
51.325570002,-003.497793894,-19.200
51.325570289,-003.497765933,-19.170
51.325569830,-003.497759115,-19.197
51.325570862,-003.497741353,-19.244
51.325567481,-003.497723764,-19.300
51.325564330,-003.497707148,-19.371
51.325560663,-003.497683427,-19.413
51.325569085,-003.497655295,-19.466
51.325571606,-003.497639080,-19.317
51.325571263,-003.497632721,-19.249
51.325574700,-003.500187368,-17.428
51.325575846,-003.500180836,-17.388
51.325580774,-003.500167944,-17.403
51.325582206,-003.500136374,-17.348
51.325579628,-003.500125660,-17.248
51.325575617,-003.500113399,-17.262
51.325573039,-003.500086183,-17.327
51.325572580,-003.500075870,-17.358
51.325573153,-003.500052149,-17.413
51.325573898,-003.500038800,-17.443
51.325572752,-003.500007974,-17.404
51.325577336,-003.499989181,-17.159
51.325582894,-003.499972165,-16.826
51.325572351,-003.499964200,-16.800
51.325573726,-003.499946840,-16.815
51.325579227,-003.499925583,-16.874
51.325572695,-003.499916530,-16.896
51.325572580,-003.499889831,-16.961
51.325574127,-003.499878772,-16.987
51.325575044,-003.499862787,-17.066
51.325578711,-003.499844452,-17.082
